code,dealerId,name,url,regionId,state,lat,long,phone,address
02042,02042,AutoNation Toyota Tempe,https://www.autonationtoyotatempe.com,15,AZ,33.34441,-111.97019,(602) 230-8084,"1550 East Camelback Road, Phoenix AZ 85014"
02050,02050,Avondale Toyota,https://www.avondaletoyota.com,15,AZ,33.459983,-112.276095,(480) 655-4300,"2020 W Riverview Auto Dr, Mesa AZ 85201"
02044,02044,Right Toyota,https://www.righttoyota.com,15,AZ,33.63494,-111.91403,(602) 863-0600,"2020 West Bell Road, Phoenix AZ 85023"
02051,02051,Earnhardt Toyota/Scion,https://www.earnhardttoyota.com,15,AZ,33.38821,-111.69959,(480) 898-6045,"1250 S. Gilbert Road, Chandler AZ 85286"
02038,02038,Hatch Toyota,https://www.hatchtoyota.com,15,AZ,34.258903,-110.013916,(833) 299-9159,"13543 N. Auto Show Avenue, Surprise AZ 85388"
02021,02021,Desert Toyota of Tucson,https://www.deserttoyota.com,15,AZ,32.205909,-110.839698,(520) 795-5565,"700 West Wetmore Road, Tucson AZ 85705"
02052,02052,Findlay Toyota Flagstaff,https://www.findlaytoyotaflagstaff.net,15,AZ,35.224093,-111.571421,(855) 235-4737,"2596 Fry Boulevard, Sierra Vista AZ 85635"
27020,27020,Findlay Toyota,https://www.findlaytoyota.com,15,NV,36.0475,-115.0204,(928) 443-8300,"3200 Willow Creek Road, Prescott AZ 86301"
27024,27024,David Wilson's Toyota and Scion of Las Vegas,https://www.dwtoyotalasvegas.com,15,NV,36.143896,-115.104659,(888) 824-2489,"6510 Showplace Avenue, Lake Havasu City AZ 86404"
27022,27022,Centennial Toyota,https://www.centennialtoyota.com,15,NV,36.2764,-115.2734,(702) 252-2138,"6300 West Sahara Avenue, Las Vegas NV 89146"
04739,04739,Toyota of Downtown LA,https://www.toyotaofdowntownla.com,11,CA,34.033649,-118.272743,(505) 722-3881,"2000 S. 2nd Street, Gallup NM 87301"
04159,04159,South Bay Toyota,https://www.southbaytoyota.com,11,CA,33.863338,-118.308931,(562) 904-5600,"9136 E. Firestone Blvd, Downey CA 90241"
04285,04285,Envision Toyota of Norwalk,https://www.norwalktoyota.com,11,CA,33.916434,-118.089192,(888) 788-1051,"9077 Washington Blvd., Culver City CA 90232"
04308,04308,Wondries Toyota,https://www.wondriestoyota.com,11,CA,34.09172,-118.139042,(323) 275-9160,"6000 Hollywood Blvd., Los Angeles CA 90028"
04649,04649,Toyota of Glendale,https://www.toyotaofglendale.com,11,CA,34.130207,-118.254733,(310) 683-0172,"1500 N. Sepulveda Blvd, Manhattan Beach CA 90266"
04315,04315,Marina Del Rey Toyota,https://www.marinadelreytoyota.com,11,CA,33.983406,-118.441489,(562) 860-6561,"18700 Studebaker Road, Cerritos CA 90703"
04726,04726,West Coast Toyota of Long Beach,https://www.westcoasttoyotalb.com,11,CA,33.804587,-118.152444,(562) 997-8545,"2849 Long Beach Blvd., Long Beach CA 90806"
04136,04136,Longo Toyota,https://www.longotoyota.com,11,CA,34.069226,-118.023705,(310) 325-7500,"2909 Pacific Coast Hwy, Torrance CA 90505"
04303,04303,Toyota Santa Monica,https://www.toyotasantamonica.com,11,CA,34.019963,-118.491055,(818) 508-2967,"4606 Lankershim Boulevard, North Hollywood CA 91602"
04640,04640,AutoNation Toyota Buena Park,https://www.autonationtoyotabuenapark.com,11,CA,33.866837,-117.997129,(626) 400-4505,"3600 E. Foothill Blvd., Pasadena CA 91107"
04309,04309,Puente Hills Toyota,https://www.puentehillstoyota.com,11,CA,33.999618,-117.933456,(818) 248-9363,"3333 Foothill Blvd., La Crescenta CA 91214"
04079,04079,Miller Toyota of Anaheim,https://www.millertoyotaofanaheim.com,11,CA,33.852505,-117.941912,(844) 781-4306,"5855 Van Nuys Blvd, Van Nuys CA 91401"
04356,04356,Toyota Place,https://www.toyotaplace.com,11,CA,33.766636,-117.959798,(877) 653-1093,"1800 E Garvey Avenue, West Covina CA 91791"
04013,04013,Hamer Toyota,https://www.hamertoyota.com,11,CA,34.271476,-118.4677,(714) 894-3322,"15300 Beach Boulevard, Westminster CA 92683"
04059,04059,Northridge Toyota,https://www.northridgetoyota.com,11,CA,34.235252,-118.560235,(714) 594-7493,"18881 Beach Blvd., Huntington Beach CA 92648"
04247,04247,Toyota of Orange,https://www.toyotaoforange.com,11,CA,33.811122,-117.83594,(909) 305-2000,"1949 Auto Centre Drive, Glendora CA 91740"
04543,04543,Tustin Toyota,https://www.tustintoyota.com,11,CA,33.726358,-117.800865,(949) 722-2000,"1966 Harbor Blvd., Costa Mesa CA 92627"
04347,04347,Frontier Toyota,https://www.frontiertoyota.com,11,CA,34.418263,-118.549957,(909) 542-1687,"601 Auto Center Drive, Claremont CA 91711"
04638,04638,AutoNation Toyota Irvine,https://www.autonationtoyotairvine.com,11,CA,33.640481,-117.736842,(805) 497-2791,"2401 E. Thousand Oaks Blvd., Thousand Oaks CA 91362"
04915,04915,Larry H. Miller Toyota Corona,https://www.lhmtoyotacorona.com,11,CA,33.878384,-117.599106,(805) 526-7500,"2380 First Street, Simi Valley CA 93065"
04279,04279,Capistrano Valley Toyota,https://www.capovalleytoyota.com,11,CA,33.476708,-117.674391,(949) 359-4160,"22722 Avenida Empresa, Rancho Santa Margarita CA 92688"
04737,04737,Toyota of Lancaster,https://www.toyotaoflancasterav.com,11,CA,34.670263,-118.152551,(951) 687-1622,"7870 Indiana Avenue, Riverside CA 92504"
04344,04344,Ventura Toyota,https://www.venturatoyota.com,11,CA,34.246782,-119.202545,(805) 988-2370,"1631 Auto Center Drive, Oxnard CA 93030"
04333,04333,Toyota of Redlands,https://www.toyotaofredlands.com,11,CA,34.064502,-117.196296,(909) 571-5082,"650 Auto Center Drive, San Bernardino CA 92408"
04263,04263,Valley Hi Toyota,https://www.valleyhitoyota.com,11,CA,34.517518,-117.31895,(888) 333-0852,"12630 Motor Way, Moreno Valley CA 92555"
04456,04456,Toyota of El Cajon,https://www.toyotaofelcajon.com,11,CA,32.80323,-116.974804,(951) 658-3188,"350 Carriage Circle, Hemet CA 92545"
04536,04536,Norm Reeves Toyota San Diego,https://www.normreevestoyotasandiego.com,11,CA,32.78242,-117.100757,(888) 622-6108,"13631 Poway Road, Poway CA 92064"
